
# Samples and dimension 
param m := 100;
param n := 4;

# Hyperparam
param nu := 30;

# Points
param A : 1 2 3 4 :=
1 0.178 0.4 0.167 0.212
2 0.054 0.276 0.048 0.321
3 0.368 0.222 0.22 0.202
4 0.344 0.648 0.149 0.03
5 0.655 0.528 0.506 0.916
6 0.119 0.058 0.72 0.638
7 0.412 0.816 0.281 0.579
8 0.342 0.633 0.304 0.39
9 0.576 0.758 0.176 0.796
10 0.22 0.14 0.607 0.37
11 0.486 0.025 0.697 0.992
12 0.885 0.111 0.999 0.605
13 0.88 0.017 0.564 0.16
14 0.592 0.503 0.229 0.896
15 0.183 0.473 0.651 0.359
16 0.611 0.579 0.409 0.218
17 0.578 0.704 0.974 0.276
18 0.915 0.161 0.806 0.914
19 0.555 0.794 0.784 0.119
20 0.38 0.711 0.457 0.609
21 0.35 0.792 0.08 0.001
22 0.349 0.612 0.73 0.757
23 0.679 0.336 0.534 0.653
24 0.229 0.568 0.773 0.036
25 0.539 0.591 0.276 0.323
26 0.231 0.703 0.421 0.688
27 0.029 0.038 0.103 0.109
28 0.254 0.458 0.651 0.984
29 0.481 0.663 0.551 0.015
30 0.162 0.244 0.884 0.935
31 0.366 0.474 0.871 0.642
32 0.58 0.873 0.5 0.001
33 0.812 0.03 0.599 0.915
34 0.638 0.169 0.596 0.289
35 0.811 0.77 0.816 0.362
36 0.131 0.525 0.029 0.015
37 0.309 0.381 0.934 0.18
38 0.731 0.76 0.896 0.231
39 0.457 0.043 0.791 0.056
40 0.93 0.695 0.128 0.527
41 0.281 0.338 0.754 0.097
42 0.54 0.228 0.225 0.569
43 0.685 0.878 0.624 0.619
44 0.647 0.349 0.818 0.544
45 0.58 0.001 0.623 0.371
46 0.582 0.302 0.752 0.71
47 0.736 0.991 0.167 0.49
48 0.867 0.03 0.315 0.092
49 0.558 0.777 0.477 0.182
50 0.535 0.829 0.745 0.354
51 0.326 0.933 0.373 0.949
52 0.431 0.531 0.606 0.182
53 0.434 0.918 0.231 0.601
54 0.319 0.468 0.438 0.634
55 0.037 0.192 0.338 0.514
56 0.734 0.049 0.202 0.479
57 0.575 0.805 0.336 0.948
58 0.641 0.378 0.285 0.247
59 0.525 0.681 0.479 0.757
60 0.887 0.076 0.751 0.325
61 0.311 0.362 0.902 0.649
62 0.275 0.383 0.925 0.477
63 0.328 0.052 0.667 0.664
64 0.42 0.305 0.378 0.705
65 0.939 0.23 0.233 0.418
66 0.515 0.305 0.063 0.266
67 0.772 0.577 0.993 0.674
68 0.869 0.949 0.61 0.794
69 0.472 0.121 0.478 0.139
70 0.478 0.559 0.09 0.856
71 0.642 0.795 0.495 0.875
72 0.482 0.39 0.519 0.544
73 0.149 0.317 0.234 0.142
74 0.46 0.011 0.94 0.07
75 0.366 0.542 0.926 0.844
76 0.711 0.322 0.24 0.802
77 0.504 0.443 0.973 0.999
78 0.186 0.481 0.708 0.705
79 0.364 0.854 0.341 0.598
80 0.332 0.059 0.008 0.272
81 0.813 0.638 0.671 0.739
82 0.352 0.45 0.804 0.592
83 0.982 0.097 0.695 0.956
84 0.013 0.142 0.576 0.721
85 0.601 0.086 0.701 0.943
86 0.698 0.275 0.742 0.706
87 0.871 0.518 0.184 0.542
88 0.666 0.894 0.707 0.47
89 0.959 0.452 0.583 0.654
90 0.679 0.667 0.55 0.256
91 0.397 0.857 0.474 0.098
92 0.158 0.796 0.075 0.9
93 0.621 0.771 0.021 0.805
94 0.278 0.471 0.208 0.985
95 0.694 0.944 0.393 0.278
96 0.801 0.957 0.265 0.351
97 0.653 0.748 0.07 0.127
98 0.87 0.285 0.643 0.945
99 0.145 0.566 0.956 0.166
100 0.269 0.444 0.842 0.477
;

# Labels
param y :=
1 -1.0
2 -1.0
3 -1.0
4 -1.0
5 1.0
6 -1.0
7 1.0
8 1.0
9 -1.0
10 -1.0
11 1.0
12 1.0
13 -1.0
14 1.0
15 -1.0
16 -1.0
17 1.0
18 1.0
19 -1.0
20 1.0
21 -1.0
22 1.0
23 1.0
24 -1.0
25 -1.0
26 1.0
27 -1.0
28 1.0
29 -1.0
30 1.0
31 1.0
32 -1.0
33 1.0
34 -1.0
35 1.0
36 -1.0
37 -1.0
38 1.0
39 1.0
40 -1.0
41 -1.0
42 -1.0
43 1.0
44 1.0
45 -1.0
46 1.0
47 1.0
48 -1.0
49 -1.0
50 1.0
51 1.0
52 -1.0
53 1.0
54 -1.0
55 -1.0
56 -1.0
57 1.0
58 -1.0
59 1.0
60 1.0
61 1.0
62 1.0
63 1.0
64 -1.0
65 1.0
66 -1.0
67 1.0
68 1.0
69 -1.0
70 -1.0
71 1.0
72 -1.0
73 1.0
74 -1.0
75 1.0
76 1.0
77 1.0
78 1.0
79 -1.0
80 -1.0
81 1.0
82 1.0
83 1.0
84 -1.0
85 1.0
86 1.0
87 1.0
88 1.0
89 1.0
90 1.0
91 -1.0
92 -1.0
93 1.0
94 -1.0
95 1.0
96 1.0
97 -1.0
98 1.0
99 -1.0
100 1.0
;
