0.201 0.165 0.228 0.348 -1.0
0.879 0.599 0.772 0.091 1.0
0.58 0.341 0.2 0.495 -1.0
0.706 0.437 0.741 0.559 1.0
0.914 0.768 0.215 0.121 1.0
0.241 0.44 0.613 0.112 -1.0
0.317 0.313 0.233 0.545 -1.0
0.301 0.424 0.259 0.073 -1.0
0.033 0.653 0.855 0.233 -1.0
0.948 0.94 0.586 0.69 1.0
0.103 0.604 0.267 0.318 -1.0
0.143 0.559 0.165 0.755 -1.0
0.232 0.073 0.983 0.465 -1.0
0.644 0.766 0.041 0.903 1.0
0.556 0.936 0.493 0.41 1.0
0.641 0.359 0.109 0.227 -1.0
0.608 0.329 0.653 0.874 1.0
0.378 0.017 0.206 0.543 -1.0
0.877 0.775 0.845 0.86 1.0
0.463 0.504 0.006 0.504 -1.0
0.846 0.06 0.343 0.339 -1.0
0.513 0.98 0.829 0.622 1.0
0.878 0.229 0.535 0.532 1.0
0.183 0.91 0.121 0.389 -1.0
0.893 0.266 0.228 0.738 1.0
0.468 0.201 0.63 0.475 -1.0
0.037 0.321 0.765 0.381 -1.0
0.236 0.894 0.639 0.065 -1.0
0.845 0.943 0.745 0.381 1.0
0.848 0.563 0.385 0.969 -1.0
0.838 0.862 0.218 0.066 -1.0
0.344 0.534 0.802 0.974 1.0
0.507 0.011 0.33 0.273 -1.0
0.99 0.508 0.286 0.629 1.0
0.801 0.474 0.517 0.546 1.0
0.991 0.394 0.418 0.376 1.0
0.37 0.213 0.225 0.588 -1.0
0.826 0.932 0.813 0.628 1.0
0.823 0.135 0.917 0.153 1.0
0.309 0.142 0.917 0.595 -1.0
0.49 0.396 0.245 0.007 -1.0
0.1 0.998 0.335 0.518 -1.0
0.699 0.888 0.587 0.924 1.0
0.867 0.75 0.408 0.68 1.0
0.314 0.503 0.514 0.231 -1.0
0.922 0.54 0.798 0.839 1.0
0.569 0.329 0.53 0.814 1.0
0.472 0.914 0.334 0.807 1.0
0.708 0.506 0.32 0.296 -1.0
0.796 0.162 0.18 0.204 -1.0
0.559 0.518 0.345 0.073 -1.0
0.001 0.995 0.289 0.798 1.0
0.424 0.367 0.163 0.954 -1.0
0.499 0.426 0.094 0.834 -1.0
0.526 0.542 0.739 0.845 1.0
0.169 0.642 0.0 0.349 -1.0
0.843 0.908 0.364 0.188 -1.0
0.114 0.188 0.976 0.403 1.0
0.81 0.827 0.353 0.973 1.0
0.533 0.472 0.208 0.627 -1.0
0.441 0.153 0.848 0.179 1.0
0.685 0.348 0.64 0.685 1.0
0.486 0.528 0.606 0.851 1.0
0.587 0.964 0.904 0.563 1.0
0.89 0.373 0.195 0.243 -1.0
0.976 0.776 0.818 0.184 1.0
0.124 0.624 0.556 0.971 1.0
0.554 0.656 0.152 0.194 -1.0
0.85 0.681 0.869 0.456 1.0
0.585 0.043 0.496 0.488 -1.0
